gamma_kappa,epsilon_kappa,kappa情景,延续活跃系数,delay_window_count,总窗口数,可行策略数量,最优策略编号,最优策略名称,最优策略替代TOPSIS得分,S5排序,S5_替代TOPSIS得分,S4排序,S4_替代TOPSIS得分,S3排序,S3_替代TOPSIS得分,S2排序,S1排序,S5是否第一,S4是否第一,S3是否第一,S0平台利润,S1平台利润,S5平台利润,S5相对S0利润差,S5相对S1利润差,S5成本收入比,S5积分成本,S5总活跃度提升,S5续费概率提升,S5私教购买概率提升,S5私教收入提升,S4平台利润,S4相对S0利润差,S4相对S1利润差,S4续费概率提升,S4私教购买概率提升,S4私教收入提升,S3平台利润,S3私教购买概率提升,S3私教收入提升,S2平台利润
0.5,0.05,"gamma=0.5, epsilon=0.05",0.35,1,2,5,S5,高强度综合激励策略,0.5780931713431481,1,0.5780931713431481,2,0.530594180815375,3,0.4817593855674759,4,5,True,False,False,5704606.949204534,5812033.763829731,5502002.383723918,-202604.56548061594,-310031.38010581303,0.038045431489159884,671966.2618428455,243154.13251667432,21652.45164651919,-34.36024143535821,-15222.665577837557,5730292.605565336,25685.65636080131,-81741.15826439578,18990.834460213922,-43.486088459507705,-22314.246242244262,5766182.163905776,-48.6234247790606,-25736.40345069999,5818922.372327057
0.5,0.05,"gamma=0.5, epsilon=0.05",0.35,2,3,5,S5,高强度综合激励策略,0.5867677086632789,1,0.5867677086632789,2,0.5189700631356315,4,0.45318962009757807,3,5,True,False,False,8556910.4238068,8691369.674158681,8525764.469038304,-31145.954768495634,-165605.20512037724,0.025538623147055132,671966.2618428455,265218.1186154096,17956.664928727303,-46.68534377051379,-29197.918256777833,8706406.405468069,149495.98166126944,15036.731309387833,13381.022275585738,-54.627850170290344,-38737.750340951985,8706148.80570683,-54.79769509418262,-42166.60087604544,8761076.761797229
0.5,0.05,"gamma=0.5, epsilon=0.05",0.35,3,4,5,S5,高强度综合激励策略,0.5863931502654381,1,0.5863931502654381,2,0.5609842612103566,4,0.4218045959359499,3,5,True,False,False,11409213.898409069,11555332.67196075,11503667.254980385,94453.35657131672,-51665.41698036529,0.019292870447284397,671966.2618428455,272940.5137499669,13406.6138400957,-58.55750253952801,-46861.01137851784,11643106.76481253,233892.8664034605,87774.09285177849,9191.94480461852,-56.372793696295034,-55768.31517030805,11598322.007862104,-53.61517064888545,-58358.38776766928,11652561.278495817
0.5,0.05,"gamma=0.5, epsilon=0.05",0.35,4,5,5,S4,流失召回强化策略,0.5978992720933682,2,0.5544756776393235,1,0.5978992720933682,4,0.40283462387514446,3,5,False,True,False,14261517.373011336,14412255.800591597,14423523.035906987,162005.66289565153,11267.235315389931,0.015561251778027587,671966.2618428455,275643.352047062,7443.573498389904,-56.4269055417175,-63892.20413778146,14537925.497814111,276408.1248027757,125669.69722251408,4813.660797698623,-59.436537570359725,-73673.0553636853,14469819.595660487,-58.405720945271966,-75957.36116472702,14524078.183303813
0.5,0.05,"gamma=0.5, epsilon=0.05",0.35,6,7,5,S5,高强度综合激励策略,0.6004297821229544,1,0.6004297821229544,2,0.5476859477800482,4,0.45994365391123443,3,5,True,False,False,19966124.32221587,20109105.125190314,20174477.849223323,208353.52700745314,65372.72403300926,0.011268423036297485,671966.2618428455,276920.4431424395,2179.4589053857476,-59.48025077609075,-99654.0478926358,20265025.924706057,298901.6024901867,155920.7995157428,1339.1075168010518,-58.8691588598322,-109464.02813713573,20188871.180735547,-58.559790034085985,-111514.73809393239,20243070.4074813
0.5,0.05,"gamma=0.5, epsilon=0.05",0.35,8,9,5,S5,高强度综合激励策略,0.6926062330003915,1,0.6926062330003915,2,0.6115445304816055,4,0.29853977610694565,3,5,True,False,False,25670731.271420408,25773881.22158447,25890757.873684235,220026.60226382688,116876.65209976584,0.008843483440834165,671966.2618428455,277076.8868016232,1034.473692390388,-58.2078437103388,-134919.44707756292,25970129.493903734,299398.22248332575,196248.2723192647,427.28279560040073,-58.19061607097287,-144607.7625941009,25873085.169826847,-58.07174152179169,-146664.29407714005,25932859.637211666
0.5,0.05,"gamma=0.5, epsilon=0.05",0.35,12,13,5,S5,高强度综合激励策略,0.6404636538863131,1,0.6404636538863131,2,0.4864513514804588,3,0.44154341562061167,4,5,True,False,False,37079945.16982948,37103920.25290629,37234103.3126817,154158.14285221696,130183.05977540463,0.0061970738445094814,671966.2618428455,277098.3987825339,-1230.9078792880987,-57.89661760253644,-204985.97317780356,37307607.76269231,227662.59286282957,203687.50978601724,-1231.9529092279156,-57.89508136636967,-214606.33787584607,37203024.70511435,-57.894928018693825,-216672.6418844699,37262660.29589944
0.75,1e-09,"gamma=0.75, epsilon=1e-09",0.35,1,2,5,S4,流失召回强化策略,0.5727391705450078,3,0.5436998018725993,1,0.5727391705450078,4,0.5413805897857028,2,5,False,True,False,5704606.949204534,6624723.886985021,6486779.069450758,782172.1202462241,-137944.8175342623,0.03280171385879935,671975.0052672585,243154.13251667432,75377.69742856661,90.97661870336019,55431.166516171186,6734676.001914144,1030069.0527096093,109952.11492912285,72828.39087930237,69.96539320519848,47242.304968110926,6759281.667310829,36.31781102006914,31312.55456605446,6815717.471155736
0.75,1e-09,"gamma=0.75, epsilon=1e-09",0.35,2,3,5,S5,高强度综合激励策略,0.5969262015498553,1,0.5969262015498553,2,0.5952395509155006,4,0.5114917439171849,3,5,True,False,False,8556910.4238068,9796633.734347753,10010257.691908691,1453347.2681018915,213623.95756093785,0.0219833516092442,671975.0052672585,265218.1186154096,71185.56242330448,53.64181935706558,70556.00479015886,10200624.764168467,1643714.3403616678,403991.02982071415,65470.911461907854,47.453744009445685,60560.37761879395,10120013.15102351,1.067767735000848,30660.404647738877,10184998.38292112
0.75,1e-09,"gamma=0.75, epsilon=1e-09",0.35,3,4,5,S5,高强度综合激励策略,0.6322964443755953,1,0.6322964443755953,2,0.5941525851323591,4,0.4475699494943388,3,5,True,False,False,11409213.898409069,12912099.23914181,13451060.065845028,2041846.167435959,538960.8267032169,0.016628688272354582,671975.0052672585,272940.5137499669,63026.23716265205,4.3695240877118575,70798.52579344425,13556062.374010637,2146848.475601569,643963.1348688267,54267.016091776764,-3.072838726977312,57994.044466665015,13337517.22252262,-24.151746241915486,21767.473547592002,13410303.050025292
0.75,1e-09,"gamma=0.75, epsilon=1e-09",0.35,4,5,5,S5,高强度综合激励策略,0.6526428847208369,1,0.6526428847208369,2,0.5700044618171813,4,0.41416597926829146,3,5,True,False,False,14261517.373011336,16002476.349200714,16763787.354498126,2502269.98148679,761311.0052974112,0.013469939299931968,671975.0052672585,275643.352047062,49824.800817661424,-13.735770216274787,65591.72659085173,16779832.248602077,2518314.8755907416,777355.899401363,40534.254453538815,-37.679964490795996,45155.952362562995,16479711.947819438,-25.5383275743589,12697.420513991616,16553549.277336666
0.75,1e-09,"gamma=0.75, epsilon=1e-09",0.35,6,7,5,S5,高强度综合激励策略,0.6322497063145079,1,0.6322497063145079,2,0.5792335361508728,4,0.45994953654288434,3,5,True,False,False,19966124.32221587,22126448.39109049,23061781.403969213,3095657.0817533433,935333.0128787234,0.009896183662637508,671975.0052672585,276920.4431424395,29956.06221798456,-22.386564862929436,42413.39869907533,23013698.79326122,3047574.471045349,887250.4021707289,27396.006070769137,-21.75646441525676,29483.4787688012,22666354.315149818,-21.42676822860602,-7184.874028161168,22742258.01292717
0.75,1e-09,"gamma=0.75, epsilon=1e-09",0.35,8,9,5,S5,高强度综合激励策略,0.6623365379042289,1,0.6623365379042289,2,0.6220829612660672,4,0.3855072164833828,3,5,True,False,False,25670731.271420408,28194741.039112616,29238295.333469924,3567564.0620495155,1043554.2943573073,0.007852756238328295,671975.0052672585,277076.8868016232,25578.68903576309,-23.95383107683911,26831.76840304362,29167626.513684507,3496895.2422640994,972885.4745718911,24387.655596182056,-22.63491963684274,13669.43979401025,28769547.436409596,-7.201335104007155,-17907.927000858705,28852713.845418952
0.75,1e-09,"gamma=0.75, epsilon=1e-09",0.35,12,13,5,S5,高强度综合激励策略,0.6229871543450295,1,0.6229871543450295,2,0.5917098012570542,3,0.49130527787598066,4,5,True,False,False,37079945.16982948,40042447.42268938,41391272.174674846,4311327.004845366,1348824.751985468,0.005584033200286402,671975.0052672585,277098.3987825339,18410.65415418109,-40.849614731195174,-7820.727880366845,41303805.65423613,4223860.48440665,1261358.2315467522,17650.72964740958,-46.48044780302463,-26980.325478612445,40801511.659342036,-47.47735265141637,-64148.867474780185,40901541.413417906
0.75,0.0001,"gamma=0.75, epsilon=0.0001",0.35,1,2,5,S4,流失召回强化策略,0.6360109045229957,4,0.5108334076772207,1,0.6360109045229957,3,0.5379717105140226,2,5,False,True,False,5704606.949204534,6277308.802613702,6293973.302401872,589366.3531973381,16664.49978817068,0.03371073236251879,671975.1089226997,243154.13251667432,63624.64333964658,65.32957247643418,44699.62805326737,6512285.116438269,807678.1672337344,234976.313824567,59538.03899901711,28.97809332891008,29084.653137173562,6458264.606831004,-1.5539040457258713,8911.079929990927,6523247.336645143
0.75,0.0001,"gamma=0.75, epsilon=0.0001",0.35,2,3,5,S5,高强度综合激励策略,0.618247131214902,1,0.618247131214902,2,0.5753985106905404,3,0.47926854468114927,4,5,True,False,False,8556910.4238068,9239616.784102075,9680596.991300328,1123686.5674935281,440980.2071982529,0.022684891738122763,671975.1089226997,265218.1186154096,56583.752398308614,8.15601221986498,46618.22356758543,9813571.230206233,1256660.806399433,573954.4461041577,48006.99751122265,-17.85170537452867,23266.520438783366,9643725.601184018,-29.405667363104786,-400.07855890563224,9717366.023897585
0.75,0.0001,"gamma=0.75, epsilon=0.0001",0.35,3,4,5,S5,高强度综合激励策略,0.634662042539432,1,0.634662042539432,2,0.5792189393548417,3,0.45314171450304447,4,5,True,False,False,11409213.898409069,12134470.220206784,12948878.817876237,1539664.919467168,814408.5976694524,0.017242879444559395,671975.1089226997,272940.5137499669,44283.279581247065,-25.372982681655,38491.63877265982,12996426.32284366,1587212.424434591,861956.1026368756,35487.75784110149,-41.70871990724405,10251.318160822557,12682107.564506065,-44.623733052927676,-14207.51898093475,12766211.513540467
0.75,0.0001,"gamma=0.75, epsilon=0.0001",0.35,4,5,5,S5,高强度综合激励策略,0.655806439351246,1,0.655806439351246,2,0.5783079249926519,4,0.40624331459824753,3,5,True,False,False,14261517.373011336,14999990.921765462,16083149.658133177,1821632.2851218414,1083158.7363677155,0.014018074216348491,671975.1089226997,275643.352047062,30366.82741797582,-47.7970444260743,23617.665098659927,16047252.056383645,1785734.6833723094,1047261.1346181836,21551.750732623063,-57.46105698935207,-7317.098145292432,15610410.6373238,-55.72315860431488,-31178.99681673711,15700436.345031695
0.75,0.0001,"gamma=0.75, epsilon=0.0001",0.35,6,7,5,S5,高强度综合激励策略,0.6532436715938514,1,0.6532436715938514,2,0.5486283993798842,4,0.40872843228906325,3,5,True,False,False,19966124.32221587,20699008.586146448,21981521.666107044,2015397.3438911736,1282513.0799605958,0.010368667429376408,671975.1089226997,276920.4431424395,6218.8807295324805,-59.26403888636752,-11770.712373855407,21856276.92818526,1890152.6059693918,1157268.342038814,3472.6219233797924,-58.6305247090735,-43119.808222367894,21352252.306907672,-59.196883670296785,-67053.85145885788,21445686.91015031
