观察期标签,delay_window_count,总窗口数,窗口1权重,延期窗口权重,延续活跃系数,策略编号,策略名称,p0,p1,Pmax,兑换概率,窗口1会员收入,窗口1私教收入,延期窗口会员收入合计,延期窗口私教收入合计,会员收入,私教收入,积分成本,平台利润,总活跃度提升,总线上活跃提升,最终续费概率提升,最终私教购买概率提升,私教期望购买人数提升,私教收入提升,成本收入比,是否利润非负,是否满足成本约束,gamma_kappa,epsilon_kappa,kappa情景
KAPPA,1,2,1.0,1.0,0.35,S5,高强度综合激励策略,16,7,420,0.7,8887837.648235148,78619.26572889017,8780748.44984668,77927.10171067077,17668586.098081827,156546.36743956094,738093.1873017807,5492875.857258727,405945.353740733,1298494.8434916656,25153.79779285323,-26.174182830684288,-26.174182830684288,-14747.874799976184,0.041407444726116446,True,True,0.25,0.01,"gamma=0.25, epsilon=0.01"
KAPPA,1,2,1.0,1.0,0.35,S0,无积分基准策略,0,0,0,0.0,8076026.680760961,85647.12111976856,8076026.680760961,85647.12111976856,16152053.361521922,171294.24223953712,0.0,5704606.949204534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,0.25,0.05,"gamma=0.25, epsilon=0.05"
KAPPA,1,2,1.0,1.0,0.35,S1,低补贴保留策略,6,2,120,0.3,8576273.093982743,72608.76404949564,8501617.974175641,69215.54398172555,17077891.068158384,141824.3080312212,57106.77901265829,5962702.387252142,55475.6624538752,140188.1314376099,15166.492964579284,-54.6947780147239,-54.6947780147239,-29469.934208315914,0.0033163602164773373,True,True,0.25,0.05,"gamma=0.25, epsilon=0.05"
KAPPA,1,2,1.0,1.0,0.35,S2,均衡促活策略,10,4,220,0.5,8648980.744294118,74881.46947364845,8570541.779471183,72165.7093816014,17219522.523765303,147047.17885524983,241543.49464766285,5829403.542326768,134732.39808271662,404344.9176002143,17620.147365669836,-45.57499392217593,-45.57499392217593,-24247.063384287292,0.013908532242335387,True,True,0.25,0.05,"gamma=0.25, epsilon=0.05"
KAPPA,1,2,1.0,1.0,0.35,S3,私教转化强化策略,9,4,260,0.55,8654329.65367427,75332.06397868885,8574065.657084115,72457.30137025511,17228395.310758382,147789.36534894397,292542.51464533445,5781732.653724782,146917.78026927108,482891.1502344184,17746.56813672478,-44.615999702728246,-44.615999702728246,-23504.87689059315,0.01683583134608298,True,True,0.25,0.05,"gamma=0.25, epsilon=0.05"
KAPPA,1,2,1.0,1.0,0.35,S4,流失召回强化策略,12,5,300,0.6,8689233.6110093,77254.71959520817,8612773.049345003,73140.34622510399,17302006.6603543,150395.06582031216,411030.16337548336,5689790.687494615,219814.70189014787,682187.1784496371,19109.662805732856,-42.403634627592055,-42.403634627592055,-20899.17641922497,0.023551495652259256,True,True,0.25,0.05,"gamma=0.25, epsilon=0.05"
KAPPA,1,2,1.0,1.0,0.35,S5,高强度综合激励策略,16,7,420,0.7,8746830.938412841,75651.5213977047,8654798.944868322,75205.47409304987,17401629.883281164,150856.99549075455,720745.4960063803,5415082.061789254,405945.353740733,1298494.8434916656,20594.971096828,-35.68051950535754,-35.68051950535754,-20437.246748782578,0.04106230080012503,True,True,0.25,0.05,"gamma=0.25, epsilon=0.05"
KAPPA,1,2,1.0,1.0,0.35,S0,无积分基准策略,0,0,0,0.0,8076026.680760961,85647.12111976856,8076026.680760961,85647.12111976856,16152053.361521922,171294.24223953712,0.0,5704606.949204534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,0.5,1e-09,"gamma=0.5, epsilon=1e-09"
KAPPA,1,2,1.0,1.0,0.35,S1,低补贴保留策略,6,2,120,0.3,9906656.922155626,104090.3292158732,9736994.28518477,85859.05702046954,19643651.207340397,189949.38623634272,68463.38854754159,6863799.3498925,55475.6624538752,140188.1314376099,61944.79748866788,3.586224627825519,3.586224627825519,18655.143996805593,0.003451889041756441,True,True,0.5,1e-09,"gamma=0.5, epsilon=1e-09"
KAPPA,1,2,1.0,1.0,0.35,S2,均衡促活策略,10,4,220,0.5,10004916.25292711,108277.198504514,9890237.434266537,102751.75155914796,19895153.687193647,211028.95006366196,273175.976635938,6753436.498900937,134732.39808271662,404344.9176002143,67509.86314916264,59.08247420865571,59.08247420865571,39734.70782412484,0.013586665433434163,True,True,0.5,1e-09,"gamma=0.5, epsilon=1e-09"
