观察期标签,延续活跃系数,delay_window_count,总窗口数,可行策略数量,最优策略编号,最优策略名称,最优策略替代TOPSIS得分,S5排序,S5_替代TOPSIS得分,S4排序,S4_替代TOPSIS得分,S3排序,S3_替代TOPSIS得分,S2排序,S1排序,S5是否第一,S4是否第一,S3是否第一,S0平台利润,S1平台利润,S5平台利润,S5相对S0利润差,S5相对S1利润差,S5成本收入比,S5积分成本,S5总活跃度提升,S5续费概率提升,S5私教购买概率提升,S5私教收入提升,S4平台利润,S4相对S0利润差,S4相对S1利润差,S4续费概率提升,S4私教购买概率提升,S4私教收入提升,S3平台利润,S3私教购买概率提升,S3私教收入提升,S2平台利润
L2,0.35,4,5,5,S4,流失召回强化策略,0.6020183371480533,2,0.5845482453975702,1,0.6020183371480533,4,0.4811078145800568,3,5,False,True,False,14261517.373011336,16516120.442049276,16572226.715121737,2310709.342110401,56106.273072460666,0.0158816111049525,788873.9182760085,460186.0428810631,52151.83143059033,-30.935216367541084,54867.50087972882,16705230.657132048,2443713.2841207124,189110.21508277208,44636.98042817296,-32.994266890168376,30883.49172557873,16661094.4204215,-40.081118813024354,17488.30559215136,16685280.497886134
L2,0.35,6,7,5,S5,高强度综合激励策略,0.6431480058759276,1,0.6431480058759276,2,0.5169237125293199,4,0.4194891804024376,3,5,True,False,False,19966124.32221587,22651812.021224298,22875751.076374408,2909626.754158538,223939.05515011027,0.0116521458684986,788873.9182760085,462318.14399366325,29017.30214357452,-63.82183345549418,22173.724541682983,22932609.2698754,2966484.9476595297,280797.2486511022,26253.578959959385,-43.249924676912606,-1665.386331026326,22851617.18350576,-5.669881507547743,-5645.005390112288,22876616.057215143
L2,0.35,8,9,5,S5,高强度综合激励策略,0.6170194269142544,1,0.6170194269142544,2,0.5879035418122106,3,0.49844210588928956,4,5,True,False,False,25670731.271420408,28710389.92055982,29018446.900164902,3347715.628744494,308056.9796050824,0.0092506273164283,788873.9182760085,462579.3263799568,23289.65592414935,32.209723594888786,27943.80176793144,29054371.919121005,3383640.6477005966,343981.99856118485,21996.717058784358,5.529328405838464,9160.13018910878,28956272.74288364,-30.864500119044266,-6437.840967632714,28978371.178927824
L2,0.35,12,13,5,S5,高强度综合激励策略,0.6238842018261641,1,0.6238842018261641,2,0.5883608477445034,3,0.4885673213126986,4,5,True,False,False,37079945.16982948,40562868.62329443,41037564.16755541,3957618.9977259263,474695.5442609787,0.0065926035705864,788873.9182760085,462615.24059046194,14137.376302764593,-44.26353763258945,-19015.427282362944,41013297.48403667,3933352.314207189,450428.86074224114,13015.499454685536,-47.249019046206,-40889.729131199885,40887099.18151481,-48.585060362524615,-58228.61561010382,40904119.82659307
L3,0.5,1,2,5,S4,流失召回强化策略,0.5543099390184123,2,0.544042987353289,1,0.5543099390184123,4,0.519776254723383,3,5,False,True,False,5704606.949204534,6892387.069097677,6321838.414767581,617231.4655630467,-570548.6543300962,0.0387691790829738,788873.9182760085,451050.3930452589,72751.08844619589,82.10864421645361,50217.56661576888,6618243.631065685,913636.681861151,-274143.43803199194,71047.22684205402,74.58860244204972,46431.807783674216,6720278.814888132,68.99310855108004,43106.25179645949,6770834.91827829
L3,0.5,2,3,5,S4,流失召回强化策略,0.5668363986961014,2,0.5489429034525681,1,0.5668363986961014,4,0.5226064543179177,3,5,False,True,False,8556910.4238068,10299361.38451418,9847434.031283664,1290523.607476864,-451927.3532305155,0.0259187519665699,788873.9182760085,526225.4585528021,70842.63220486259,73.48540435346209,71811.97511856406,10119582.988037117,1562672.5642303172,-179778.39647706226,68421.82118797737,63.29873418659122,64865.15881002109,10200856.315925414,37.51735420248271,53679.0739932514,10245752.410571976
L3,0.5,3,4,5,S4,流失召回强化策略,0.5724947024335542,2,0.5578933507100754,1,0.5724947024335542,4,0.5150895370093189,3,5,False,True,False,11409213.898409069,13639854.04354144,13345038.47888135,1935824.5804722812,-294815.56466009095,0.0195051653970165,788873.9182760085,563812.9913065736,68029.49980328044,61.48379008958598,89678.94266172254,13583044.961769676,2173831.0633606073,-56809.081771764904,64860.24319288221,19.51073207842914,69931.65137420519,13632511.419822032,0.0221414694868471,52853.452531561605,13669305.973011913
L3,0.5,4,5,5,S4,流失召回强化策略,0.5813401002888546,2,0.5535570329255848,1,0.5813401002888546,4,0.512193312663592,3,5,False,True,False,14261517.373011336,16906720.966165483,16804464.79442315,2542947.421411816,-102256.17174233124,0.0156705227447944,788873.9182760085,582606.7576834594,64458.73489990501,16.440689131807535,93836.24744635272,16992008.58130073,2730491.208289396,85287.61513524875,59487.47703668698,-5.677818058460854,67331.60641742492,17004114.97734646,-24.21022332085782,44671.24006395502,17030688.94661501
L3,0.5,6,7,5,S5,高强度综合激励策略,0.6282572747292683,1,0.6282572747292683,2,0.5862262937484499,4,0.4567053999555035,3,5,True,False,False,19966124.32221587,23195879.465517294,23548223.67914864,3582099.3569327705,352344.2136313468,0.0113292540823481,788873.9182760085,596702.0824661237,52404.90091065037,-30.593347925228244,79612.99012604333,23600510.039460648,3634385.717244778,404630.5739433542,44954.26371984748,-32.71192404538216,47487.497506824206,23480694.095382955,-38.74753942785411,23157.526252081152,23499170.87421808
L3,0.5,8,9,5,S5,高强度综合激励策略,0.6651902175610129,1,0.6651902175610129,2,0.5121737355730377,3,0.3893769142557201,4,5,True,False,False,25670731.271420408,29362889.02547724,29981175.276083287,4310444.004662879,618286.2506060451,0.0089612022043095,788873.9182760085,600225.9136617898,34945.20347389579,-50.469855855955785,53258.93132597767,29893499.375441007,4222768.104020599,530610.3499637656,29375.87943466401,-62.01329133313451,13151.387206031824,29713234.00407061,-50.9319610561963,-10805.091630468729,29719540.44257116
L3,0.5,12,13,5,S5,高强度综合激励策略,0.6191623012250337,1,0.6191623012250337,2,0.5755176734253712,4,0.4808653223638889,3,5,True,False,False,37079945.16982948,41538400.88605259,42325111.52642236,5245166.356592879,786710.6403697655,0.006395650837709,788873.9182760085,601327.1109104354,23529.28127778985,32.26324492903628,24467.77406258555,42179686.05603509,5099740.886205606,641285.1699824929,22164.79288801251,6.2048297403963,4982.091960155405,41953471.46956679,-30.31389519964732,-12295.54997751466,41967628.92210049
L4,0.7,1,2,5,S5,高强度综合激励策略,0.5452344496335987,1,0.5452344496335987,2,0.5427600872183304,4,0.51528883232455,3,5,True,False,False,5704606.949204534,6912169.992808043,6332001.270732095,627394.3215275612,-580168.7220759476,0.0387137767474826,788873.9182760085,511190.44545129343,73810.8367360565,84.12308757161,50796.76451440394,6624310.727591586,919703.778387052,-287859.2652164567,71639.79559228258,78.33492542804083,47586.92714607745,6732912.813515238,73.78033590784949,44589.61983480759,6781725.939276913
L4,0.7,2,3,5,S4,流失召回强化策略,0.5596695088600093,2,0.544832499565584,1,0.5596695088600093,4,0.5268999380550161,3,5,False,True,False,8556910.4238068,10369210.078743637,9875621.959911313,1318711.5361045133,-493588.1188323237,0.025849971515455,788873.9182760085,658533.573846078,72668.99180012995,81.97825644992149,74940.40952106236,10151284.203848897,1594373.780042097,-217925.87489474006,70983.00323491677,74.23039788138925,69399.50475937969,10244095.451805765,68.69007809147014,64700.58854983575,10290538.11907435
L4,0.7,3,4,5,S4,流失召回强化策略,0.5714563473059631,2,0.5471316157515026,1,0.5714563473059631,4,0.5369059298774325,3,5,False,True,False,11409213.898409069,13801935.51797606,13407218.110429514,1998004.2120204456,-394717.4075465463,0.0194193157516316,788873.9182760085,761673.7637224272,71428.60150817953,77.16143105118401,97671.98341463378,13664953.55174813,2255739.653339062,-136981.96622793004,69623.49047943996,69.58122277037765,89777.1427157473,13739763.867204988,61.22919668771469,82489.40746959753,13782128.432103569
L4,0.7,4,5,5,S4,流失召回强化策略,0.575227762953124,2,0.5506844539009671,1,0.575227762953124,4,0.5339627161898072,3,5,False,True,False,14261517.373011336,17206417.739908867,16931415.484075073,2669898.1110637374,-275002.25583379343,0.0155573087073286,788873.9182760085,833871.8966358716,70696.53484239207,73.37483694411546,119235.41144537368,17162992.756665636,2901475.3836543,-43424.98324323073,68070.01187064155,62.23769728481109,107866.24066223776,17217956.149183266,34.90559969537213,92253.14874859934,17253607.172564227
L4,0.7,6,7,5,S4,流失召回强化策略,0.6356881938101583,4,0.5181601480848423,1,0.6356881938101583,3,0.5773236819389166,2,5,False,True,False,19966124.32221587,23914948.010268565,23936911.42084574,3970787.0986298695,21963.410577174276,0.0111496690796346,788873.9182760085,919787.6748028704,67760.80108935757,60.25240126678861,156630.94635578047,24102964.81187546,4136840.489659589,188016.80160689354,64357.59339352302,16.91504050725423,123041.29634455498,24099983.75205551,-4.283109317692993,93992.31570121448,24113240.11170427
L4,0.7,8,9,5,S5,高强度综合激励策略,0.6140029444082175,1,0.6140029444082175,2,0.5863097288300236,3,0.49894366467100293,4,5,True,False,False,25670731.271420408,30456679.093438007,30865239.501819797,5194508.230399389,408560.4083817899,0.0087096575631852,788873.9182760085,961886.4061047,63608.90732044194,13.735464534522382,169242.8146672881,30937704.570395388,5266973.29897498,481025.4769573808,58982.4767852396,-13.68242626178371,116943.1952822837,30860342.16429588,-25.36787594946166,78999.31295540696,30858833.4872648
L4,0.7,12,13,5,S5,高强度综合激励策略,0.6335370903055642,1,0.6335370903055642,2,0.5756568251054728,3,0.45367055496368763,4,5,True,False,False,37079945.16982948,43051166.94933458,44373124.084619634,7293178.9147901535,1321957.1352850571,0.006105203541694,788873.9182760085,992622.6898281656,50959.27131822176,-31.724147859329445,140210.62319411803,44177217.65717014,7097272.487340659,1126050.7078355625,43655.9095561725,-33.68373470292013,78424.50400576554,43893772.02653236,-43.09163522553075,35003.16996643064,43837758.88393855
